TreeID,TreePosX,TreePosY,TreePosZ,TreeHeight(metre),DBH(metre),CrownDiameter(metre),CrownDiameter(S-N)(metre),CrownDiameter(E-W)(metre),CrownArea(square metre),CrownVolume(cubic metre),OldID,Cluster
1979,230784.06,454418.218,0.858,8.3,0.274,5.6,6.5,5.9,24.7,96.3,9667,3
1206,230680.233,454478.384,0.778,8.4,0.181,8.0,9.7,6.7,49.7,151.2,7129,3
1325,230719.269,454497.779,0.922,8.4,0.218,2.9,3.5,3.1,6.7,18.8,7367,3
1235,230679.823,454477.302,0.858,8.4,0.337,5.3,5.3,5.5,21.8,77.8,7133,3
1229,230662.498,454314.782,0.863,8.4,1.558,5.1,6.7,4.3,20.3,106.3,6614,3
1155,230659.12,454350.714,1.038,8.5,0.359,4.2,3.7,5.2,13.9,44.6,6739,3
1249,230697.82,454353.544,0.449,8.5,0.367,4.7,4.4,5.8,17.1,66.4,6750,3
1867,230815.433,454392.871,0.873,8.9,0.288,4.1,4.1,4.3,12.9,52.5,9361,3
1303,230727.512,454479.073,0.852,9.0,0.181,2.2,2.1,2.6,3.8,14.2,6995,3
1904,230802.467,454411.134,1.054,9.1,0.471,4.8,5.0,5.4,17.8,48.1,9653,3
1403,230706.283,454514.258,0.877,9.2,0.327,3.5,3.4,3.7,9.6,44.6,7362,3
1945,230746.565,454437.702,0.615,9.2,0.45,11.4,11.7,11.9,102.6,171.3,9606,3
1366,230692.045,454579.083,0.786,9.2,0.482,4.3,4.1,4.4,14.3,64.3,7562,3
1884,230784.69,454414.908,0.9,9.3,0.27,3.2,3.5,3.3,8.2,40.0,9394,3
1459,230718.516,454500.048,1.117,9.3,0.306,3.9,4.5,3.7,11.9,33.1,7566,3
1469,230693.23,454580.839,0.654,9.4,0.321,3.2,3.2,3.3,8.0,38.5,7689,3
1168,230678.302,454315.953,0.883,9.5,0.612,5.9,6.6,5.7,27.1,122.6,6660,3
1410,230735.484,454555.523,0.863,9.6,0.267,3.8,3.6,4.5,11.6,44.8,7376,3
1143,230723.086,454327.585,0.863,9.6,0.339,4.6,5.1,4.8,16.9,80.9,6490,3
2080,230791.289,454574.477,0.438,9.6,0.342,5.0,6.3,4.7,19.5,76.0,10033,3
1183,230663.065,454375.499,0.659,9.6,0.441,5.8,5.0,6.9,26.2,122.3,6729,3
1181,230721.959,454327.949,0.841,9.8,0.254,5.7,6.0,6.9,25.6,107.2,6452,3
1227,230698.477,454352.475,0.785,9.8,0.579,4.3,4.8,4.2,14.4,74.3,6749,3
1306,230691.624,454560.178,0.876,9.9,0.225,4.9,5.9,4.5,19.0,91.0,7390,3
1407,230719.471,454496.385,0.461,10.1,0.146,2.4,2.4,2.8,4.6,18.0,7339,3
1871,230815.48,454468.823,0.928,10.1,0.315,6.3,6.6,7.3,31.4,144.0,9564,3
1316,230685.91,454519.158,0.878,10.2,0.173,3.0,3.1,3.2,7.1,22.0,7407,3
1878,230814.181,454469.766,0.878,10.2,0.326,7.6,8.4,8.7,45.9,233.4,9567,3
1212,230664.13,454366.067,0.852,10.2,0.916,6.7,6.6,6.9,35.1,185.4,6758,3
1211,230674.814,454332.925,0.86,10.3,0.716,4.6,4.8,4.8,16.4,74.8,6726,3
1912,230765.787,454386.469,0.889,10.4,0.667,4.0,3.9,5.2,12.8,30.9,9612,3
1930,230766.245,454385.534,1.131,10.6,0.262,5.1,5.4,6.2,20.2,75.2,9654,3
2049,230764.108,454545.214,0.859,10.6,0.3,4.2,4.7,4.2,13.8,71.2,9781,3
2060,230768.701,454558.759,0.852,10.8,0.219,4.2,4.4,4.9,13.7,54.8,9784,3
1420,230718.905,454499.089,0.935,10.8,0.233,4.1,5.9,4.1,13.3,42.6,7387,3
1370,230688.161,454517.45,0.779,10.8,0.774,3.8,4.1,4.9,11.6,44.2,7295,3
226,230235.246,454626.525,0.934,3.0,0.212,1.6,1.4,2.5,2.1,2.9,1226,4
253,230227.349,454609.43,1.038,3.0,0.278,1.1,1.2,1.1,0.9,1.2,1428,4
150,230259.901,454653.818,0.416,3.0,0.288,1.8,1.5,2.9,2.6,3.8,1127,4
290,230271.639,454668.337,0.795,3.0,0.793,1.5,1.5,1.7,1.7,2.5,1733,4
244,230254.787,454608.917,0.331,3.1,0.051,2.9,2.2,3.6,6.7,7.7,1288,4
283,230241.513,454628.799,0.955,3.1,0.207,1.5,1.9,1.5,1.7,3.1,1544,4
175,230259.904,454654.696,0.999,3.1,0.229,1.1,1.0,1.3,0.9,0.9,1215,4
788,230399.144,454668.727,0.855,3.1,0.768,2.4,2.8,2.7,4.5,6.8,4369,4
266,230270.946,454667.399,0.89,3.1,0.844,1.3,1.6,1.1,1.4,2.2,1444,4
